1,"Integrating HPV vaccination programs with enhanced cervical cancer screening and treatment, a systematic review","A WHO global strategy launched in November 2020 sets out an ambitious pathway towards the worldwide elimination of cervical cancer as a public health problem within the next 100 years. Achieving this goal will require investment in innovative approaches. This review aims to describe integrated approaches that combine human papillomavirus (HPV) vaccination and cervical cancer screening in low- and middle-income countries (LMIC), and their efficacy in increasing uptake of services.
A systematic review was conducted analyzing relevant papers from Embase, Medline, CINAHL and CAB Global Health databases, as well as grey literature. Narrative synthesis was performed on the included studies. Meta-analysis was not appropriate due to the heterogeneity and nature of included studies.
From 5,278 titles screened, 11 uncontrolled intervention studies from four countries (from Africa and east Asia) were included, all from the past 12 years. Four distinct typologies of integration emerged that either increased awareness of HPV and/or cervical cancer screening, and/or coupled the delivery of HPV vaccination and cervical cancer screening programs. The synthesis of findings suggests that existing HPV vaccination programs can be a useful pathway for educating mothers and other female caregivers about cervical cancer screening; through in person conversations with care providers (preferred) or take-home communications products. Integrated service delivery through outreach and mobile clinics may overcome geographic and economic barriers to access for both HPV vaccination and cervical cancer screening, however these require significant program and system resources. One study promoted HPV vaccination as part of integrated service delivery, but there were no other examples found that examined use of cervical cancer screening platforms to promote or educate on HPV vaccination.
This review has demonstrated gaps in published literature on attempts to integrate HPV vaccination and cervical cancer screening. The most promising practices to date seem to relate to integrated health communications for cervical cancer prevention. Future research should further explore the opportunities for integrated health communications to support the efforts towards the new global cervical cancer elimination agenda, and costs and feasibility of integrated service delivery for underserved populations","Wirtz C, Mohamed Y, Engel D, Sidibe A, Holloway M, Bloem P, Kumar S, Brotherton J, Reis V, Morgan C",2022
2,Barriers to access and utilization of emergency obstetric care at health facilities in sub-Saharan Africa: a systematic review of literature,"Nearly 15% of pregnancies end in fatal perinatal obstetric complications including bleeding, infections, hypertension, obstructed labour and complications of abortion. Globally, an estimated 10.7 million women have died due to obstetric complications in the last two decades, and two thirds of these deaths occurred in sub-Saharan Africa. Though the majority of maternal mortalities can be prevented, different factors can hinder women’s access to emergency obstetric services. Therefore, this review is aimed at synthesizing current evidence on barriers to access and utilization of emergency obstetric care in sub-Saharan Africa.","Geleto A, Chojenta C, Musa A, Loxton D.",2018
3,Systematic review of access to healthcare and social services among US women Veterans experiencing homelessness,"Studies suggest female Veterans are under-identified as homeless in the VA healthcare system, which may impact their ability to access necessary services. In addition, the increasing number of female Veterans experiencing homelessness requires a better understanding of their access to necessary healthcare and social care","Flike K, Byrne T.",2023
4,Female Gender Remains a Significant Barrier to Access Cataract Surgery in South Asia: A Systematic Review and Meta-Analysis,"Purpose. To determine whether the female gender is a barrier for the access to cataract surgery services in South Asia in the last two decades. Methods. Eligible cross-sectional studies were identified via computer searches and reviewing the reference lists of the obtained articles. The cataract surgical coverage (CSC) by sex based on person and eyes at visual acuity <3/60 and 6/18 is extracted. Pooled odds ratios (ORs) for males receiving cataract surgery in comparison with females were calculated by a random effect model. Results. Sixteen studies with 135972 subjects were included in the final analysis. The pooled ORs of CSC by sex on a person basis at visual acuity <3/60 and at visual acuity <6/18 were 1.46 (95% CI: 1.23–1.75) and 1.14 (95% CI: 1.05–1.24), respectively. For CSC on a per-eye basis at visual acuity <3/60, the associations were statistically significant, with a pooled OR of 1.40 (95% CI: 1.16–1.70). The values of population attributable risk percentage at a per-person and per-eye basis at visual acuity <3/60 were 6.28% and 7.48%, respectively. Subgroup analyses by design and location types attained similar results as the primary analyses. There was no evidence of publication bias. Conclusions. The female gender remains a significant barrier for the access to cataract surgery in South Asia. Visual impairment, including blindness, from unoperated cataract, could be reduced by approximately 6.28% with the elimination of gender disparities to access. More efforts are needed to increase eye care service utilization by female population.","Ye Q, Chen Y, Yan W, Wang W, Zhong J, Tang C, Müller A, Qiu B.",2020
5,Men and Miscarriage: A Systematic Review and Thematic Synthesis,"Miscarriage is common, affecting one in five pregnancies, but the psychosocial effects often go unrecognized and unsupported. The effects on men may be subject to unintentional neglect by health care practitioners, who typically focus on biological symptoms, confined to women. Therefore, we set out to systematically review the evidence of lived experiences of male partners in high-income countries. Our search and thematic synthesis of the relevant literature identified 27 manuscripts reporting 22 studies with qualitative methods. The studies collected data from 231 male participants, and revealed the powerful effect of identities assumed and performed by men or constructed for them in the context of miscarriage. We identified perceptions of female precedence, uncertain transition to parenthood, gendered coping responses, and ambiguous relations with health care practitioners. Men were often cast into roles that seemed secondary to others, with limited opportunities to articulate and address any emotions and uncertainties engendered by loss.","Williams HM, Topping A, Coomarasamy A, Jones LL.",2020
6,Access to sexual and reproductive health services for women living with HIV in Latin America and the Caribbean: systematic review of the literature,"Systematic reviews show that women living with HIV (WLHIV) have high unmet sexual and reproductive health (SRH) needs due to barriers to access sexual and reproductive health services (SRHS). In Latin America and the Caribbean (LAC), as of 2016, there were nearly one million WLHIV, but the existing evidence of their SRH needs comes from a few individual studies. This systematic review provides an overview of these women's needs to help define new and/or adapt existing public health strategies to the local context. This review synthesizes the evidence from the literature on the use of and access to SRHS related to family planning, antenatal care, abortion services and violence against WLHIV in LAC.","Gómez-Suárez M, Mello MB, Gonzalez MA, Ghidinelli M, Pérez F.",2019
7,Barriers in access to healthcare for women with disabilities: a systematic review in qualitative studies,Studies show that different socio-economic and structural factors can limit access to healthcare for women with disabilities. The aim of the current study was to review barriers in access to healthcare services for women with disabilities (WWD) internationally.,"Matin BK, Williamson HJ, Karyani AK, Rezaei S, Soofi M, Soltani S.",2021
8,Rural Latino health and the built environment: a systematic review,This study systematically reviewed literature examining the influence of the rural built environment on Latinos’ health outcomes and behaviour in the United States. A secondary aim of the study was to identify strategies developed to address challenges in the rural built environment affecting Latinos’ health.,"Stone GA, Fernandez M, DeSantiago A.",2022
9,Oral-health-related quality of life in adolescents: umbrella review,"To evaluate oral conditions, demographic and socioeconomic characteristics of oral health-related quality of life (OHRQoL) in adolescents.","Chimbinha ÍGM, Ferreira BNC, Miranda GP, Guedes RS.",2023
10,HIV-related care for transgender people: A systematic review of studies from around the world,"Transgender people face unique challenges, such as structural, interpersonal, and individual vulnerabilities to chronic diseases. Stigma and prejudice may hamper their access to health care and prevent their inclusion in the labor market, as well as cause exposition to violence. Labor market exclusion contributes to engagement in survival sex work, which increases HIV infection vulnerability. HIV continuum of care combines HIV prevention (including antiretroviral pre-exposure prophylaxis (PrEP), antiretroviral post-exposure prophylaxis (PEP) and HIV testing) with linkage to care (that is, initiating, maintaining and monitoring antiretroviral therapy). Currently, many studies evaluate the access barriers and facilitators to HIV care for transgender people.","Vaitses Fontanari AM, Zanella GI, Feijó M, Churchill S, Rodrigues Lobato MI, Costa AB.",2019
11,Experiences of Women With Breast Cancer Using Telehealth: A Qualitative Systematic Review,"Breast cancer is the most prevalent malignant neoplasm among women. Its treatment comprises different strategies. Telehealth can ensure continuity of care in distant locations. This study aimed to synthesize qualitative evidence of women's experiences with telehealth during the treatment and follow-up of breast cancer. We performed a qualitative systematic review and meta-synthesis. The databases included in the search were: Pubmed, EMBASE, CINAHAL, and Web of Science. The search combined the terms: breast cancer, telemedicine, telehealth, and qualitative study. The studies included were: qualitative design and mixed methods studies with qualitative components. The COREQ Checklist assisted in assessing the quality of included studies and an adaptation of thematic analysis for the qualitative meta-synthesis. We included twelve articles in the review. In the meta-synthesis, 3 themes emerged. (1) Structure: simple design and space to obtain information but in need of adjustments. (2) Usability: about the benefits and limitations of telehealth. (3) Interaction with health professionals. Telehealth is an accepted strategy for the clinical care of women with breast cancer. Patients identified the need for improvements in structure, usability, and interaction.","Meneses AFP, Pimentel FF, da Cruz JPF, Candido Dos Reis FJ.",2023
12,Experiences of homeless women in accessing health care in community-based settings: a qualitative systematic review,"Homelessness among women is on the rise in the US and continues to be a concern globally. The challenges homeless women face are unique and vast, yet how they experience health care can greatly affect their desire to access health care in the future. The ability to shed light on what is meaningful to homeless women in their health care experiences can guide the changes necessary to provide appropriate patient-centered, impactful care with the goal of increasing access by this vulnerable population.","Allen J, Vottero B.",2020
13,Dietary patterns before and during pregnancy and maternal outcomes: a systematic review,"Hypertensive disorders of pregnancy (HDP) and gestational diabetes mellitus (GDM) are common maternal complications during pregnancy, with short- and long-term sequelae for both mothers and children","Raghavan R, Dreibelbis C, Kingshipp BL, Wong YP, Abrams B, Gernand AD, Rasmussen KM, Siega-Riz AM, Stang J, Casavale KO, Spahn JM, Stoody EE.",2019
14,Caesarean section in uninsured women in the USA: systematic review and meta-analysis,The aim of this study is to assess the odds of caesarean section (CS) for uninsured women in the USA and understand the underlying mechanisms as well as consequences of lower use.,"Hoxha I, Braha M, Syrogiannouli L, Goodman DC, Jüni P.",2019
15,Health conditions among women in prisons: a systematic review,"The number of women and girls in prisons worldwide is increasing rapidly, and is estimated to have grown by nearly 60% since 2000.1 However, women are under-represented in published research on health and health-care services for people who experience incarceration.2–4 The absence of robust research and best practices affects how the health-care needs of women are identified and addressed behind bars and has sometimes been used as a justification for neglecting to improve services tailored to women who are incarcerated.5–7 A comprehensive understanding of the health and health-care needs of women who are incarcerated is required to develop effective policies and services to improve women's health outcomes.
The health-care needs and experiences of women who are incarcerated differ substantially from men who are incarcerated and from the general population. Women in custody disproportionately have histories of trauma and abuse,8,9 have a greater burden of mental and physical health conditions compared with men who are incarcerated and compared with women who are not incarcerated,2,5,10,11 and have worse health outcomes and higher rates of mortality after release.12–14 In addition to these differences, women can face social and structural barriers to care, such as competing pressures of family responsibilities, fewer economic resources, and stigma,5,15 all of which contribute to disparities in access to health-care services and health outcomes.15,16
In this systematic review, we review evidence on the prevalence of health conditions among women in prisons worldwide.","McLeod KE, Wong KA, Rajaratnam S, Guyatt P, Di Pelino S, Zaki N, Akbari H, Kerrigan C, Jones R, Norris E, Liauw J, Butler A, Kish N, Plugge E, Harriott P, Kouyoumdjian FG.",2025
16,Dietary patterns before and during pregnancy and birth outcomes: a systematic review,Maternal diet before and during pregnancy could influence fetal growth and birth outcomes.Two systematic reviews aimed to assess the relationships between dietary patterns before and during pregnancy and 1) gestational age at birth and 2) gestational age- and sex-specific birth weight.,"Raghavan R, Dreibelbis C, Kingshipp BJ, Wong YP, Terry N, Abrams B, Bartholomew A, Bodnar LM, Gernand A, Rasmussen K, Siega-Riz AM, Stang JS, Casavale KO, Spahn JM, Stoody E.",2019
17,Barriers and facilitators of maternal healthcare utilisation in the perinatal period among women with social disadvantage: A theory-guided systematic review,"Women with social disadvantage have poorer perinatal outcomes compared to women in advantaged social positions, which may be linked to poorer healthcare utilisation. Disadvantaged groups may experience a greater diversity of barriers (e.g., feeling embarrassed about pregnancy, lack of transportation) or barriers judged to be particularly difficult (e.g., embarrassment about pregnancy). They may also experience barriers more frequently (e.g., depression). Using Levesque et al.’s (2013) framework of healthcare access, our review identifies the barriers and facilitators that affect maternal healthcare utilisation in the perinatal period among women with social disadvantage in high-income nations.","Grand-Guillaume-Perrenoud JA, Origlia P, Cignacco E.",2022
18,Korean Immigrant Women's Health Care Utilization in the United States: A Systematic Review of Literature,"A systematic literature review was performed to review empirical evidence, published between 1946 and 2015, regarding Korean immigrant women’s health care utilization and factors affecting their health care utilization in the United States. Andersen’s behavioral model of health services utilization was used as a framework and was expanded to analyze the pattern of health services utilization and to identify characteristics of access to health care. A total of 32 reports were included. Variables were categorized into 1 of 5 individual determinants: cultural, enabling, predisposing, need, and reinforcing factor. A total of 423 relationships were found between individual determinants and health care utilization. All reinforcing variables were effective in increasing Korean immigrant women’s health care utilization in a positive way. Interventions targeting multiple factors were strongly effective in encouraging Korean immigrant women to utilize health services for cancer screening. However, these studies yielded inconsistent findings related to outcome measures due to the variability of measurement criteria.","Seo JY, Bae SH, Dickerson SS.",2016
19,Impact of Community Health Workers on Access to Care for Rural Populations in the United States: A Systematic Review,"Community Health Worker (CHW) interventions have shown potential to reduce inequities for underserved populations. However, there is a lack of support for CHW integration in the delivery of health care. This may be of particular importance in rural areas in the United States where access to care remains problematic. This review aims to describe CHW interventions and their outcomes in rural populations in the US. Peer reviewed literature was searched in PubMed and PsycINFO for articles published in English from 2015 to February 2021. Title and abstract screening was performed followed by full text screening. Quality of the included studies was assessed using the Downs and Black score. A total of 26 studies met inclusion criteria. The largest proportion were pre-post program evaluation or cohort studies (46.2%). Many described CHW training (69%). Almost a third (30%) indicated the CHW was integrated within the health care team. Interventions aimed to provide health education (46%), links to community resources (27%), or both (27%). Chronic conditions were the concern for most interventions (38.5%) followed by women’s health (34.6%). Nearly all studies reported positive improvement in measured outcomes. In addition, studies examining cost reported positive return on investment. This review offers a broad overview of CHW interventions in rural settings in the United States. It provides evidence that CHW can improve access to care in rural settings and may represent a cost-effective investment for the healthcare system.",Berini CR; Bonilha HS; Simpson AN,2022
20,Barriers and facilitators to cervical cancer screening among transgender men and non-binary people with a cervix: A systematic narrative review,"Cervical cancer mortality in the United Kingdom (UK) has decreased over the last decade, largely due to uptake of cervical cancer screening. However, only those with a female gender marker on their health records are invited, creating a significant barrier to gender minorities accessing screening. We undertook a systematic review to synthesise published literature on cervical cancer screening among eligible gender minorities, aiming to identify barriers and facilitators that might inform changes in UK policy and clinical practice. We conducted a broad search across Medline, Embase, PsycInfo and Global Health databases to 3rd January 2020 and included any original, peer-reviewed research, published in the English language that reported on cervical cancer screening among gender minorities assigned female at birth (AFAB). Twenty-seven studies were critically appraised and included in the final synthesis, which identified significant disparities in cervical cancer screening uptake between gender minorities AFAB and cis women. It revealed a lack of knowledge surrounding the relationship between gender minority status and cervical cancer risk among both service users and providers and highlighted significant barriers to access for gender minorities AFAB. Cervical cancer screening was not universally associated with dysphoria among gender minorities AFAB and we recommend that providers explore patients' preferences around screening, while avoiding assumptions. Providers should be proficient in examination techniques that maximise patient autonomy and minimise gender dysphoria or pain. Self-swabs for high-risk HPV may provide a more acceptable, evidence-based, alternative to Pap smears but there remains a need for further UK-specific research, to inform changes in policy.",Connolly D; Hughes X; Berner A,2020
21,A systematic review and meta-analysis of unmet needs for healthcare and long-term care among older people,"The absolute number of older individuals needing medical care and long-term care (LTC) is increasing globally due to the growing ageing population. However, it is uncertain who and what proportion of the population has access to care. Therefore, a systematic review and meta-analysis of the prevalence and reasons for unmet needs for healthcare and long-term care among older people, 65 years old and above, across countries was conducted. An information specialist performed a comprehensive search of four major databases (PubMed, EMBASE, Web of Science, and CINAHL) from inception to June 2020 without restrictions on language and date. We did random-effects meta-analysis to obtain pooled prevalence. We stratified the meta-analysis by reasons for unmet need categorized by barrier dimension (availability, accessibility, affordability, and acceptability), survey year, geographic location, and socio-demographic characteristics of the older individual. After screening 3912 articles, we included 101 studies published between 1996 and 2020. Of the 101 studies, 87 studies reported unmet healthcare needs and 14 studies reported unmet LTC needs. Overall, 10.4% (95% CI, 7.3–13.9) of the older population had unmet needs for healthcare. The common reasons for unmet healthcare needs were cost of treatment, lack of health facilities, lack of/conflicting time, health problem not viewed as serious, and mistrust/fear of provider. One in four (25.1%, 95% CI, 17.1–34.2) older people had unmet needs in LTC. Rural residents had a higher prevalence of unmet needs in LTC compared to their urban counterparts. With the population ageing globally, it is necessary to improve access to health care and LTC for older people. Ensuring affordability of health services, reducing geographical barriers, and improving acceptability will be critical in reducing unmet need.",Rahman MM; Rosenberg M; Flores G; Parsell N; Akter S; Alam MA; Rahman MM; Edejer T,2022
22,Prevalence and risk factors for long COVID and post-COVID-19 condition in Africa: a systematic review,"An improved estimation of the clinical sequelae of SARS-CoV-2 infection is crucial in African countries, where the subject has received little attention despite more than 12 million reported cases and evidence that many more people were infected. We reviewed the evidence on prevalence, associated risk factors for long COVID, and systemic or sociocultural determinants of reporting long COVID.",Müller SA; Isaaka L; Mumm R; Scheidt-Nave C; Heldt K; Schuster A; Abdulaziz M; El Bcheraoui C; Hanefeld J; Agweyu A,2023
